series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
uct-test-a22,1.2911285737581368,0.08712054181882534,0.001434130905212605,0.013050787471244107,574,402.0,,5.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000398,1.2029797991763758
uct-test-a22,1.2939968355685618,0.08949341226814245,0.001434130905212605,0.013050787471244107,575,401.0,,5.5,7,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000399,0.21603217063437796
uct-test-a22,1.2968650973789868,0.09423915316677667,0.001434130905212605,0.010677917021926886,576,399.0,,4.5,8,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000400,1.7704983516948687
uct-test-a22,1.2997333591894118,0.09661202361609378,0.001434130905212605,0.0035593056739756657,577,398.0,,1.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000401,2.75661084267864
uct-test-a22,1.3026016209998368,0.09661202361609378,0.001434130905212605,0.0023728704493171104,578,398.0,,1.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000402,2.7423043771846096
uct-test-a22,1.3054698828102618,0.09661202361609378,0.001434130905212605,0.008305046572609887,579,398.0,,3.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000403,2.7275780300803376
uct-test-a22,1.3083381446206868,0.09661202361609378,0.001434130905212605,0.007118611347951331,580,398.0,,3.0,7,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000404,2.7124308762331566
uct-test-a22,1.3112064064311117,0.09898489406541089,0.001434130905212605,0.005932176123292776,581,397.0,,2.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000405,3.6968619905105697
uct-test-a22,1.3140746682415367,0.101357764514728,0.001434130905212605,0.0023728704493171104,582,396.0,,1.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000406,4.680870447780194
uct-test-a22,1.3169429300519617,0.09661202361609378,0.001434130905212605,0.004745740898634221,583,398.0,,2.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000407,2.6644553229094186
uct-test-a22,1.319811191862387,0.09898489406541089,0.001434130905212605,0.008305046572609887,584,397.0,,3.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000408,3.6476156907658037
uct-test-a22,1.322679453672812,0.09898489406541089,0.001434130905212605,0.008305046572609887,585,397.0,,3.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000409,3.6303506262168526
uct-test-a22,1.325547715483237,0.09898489406541089,0.001434130905212605,0.008305046572609887,586,397.0,,3.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000410,3.6126592041299546
uct-test-a22,1.328415977293662,0.09898489406541089,0.001434130905212605,0.008305046572609887,587,397.0,,3.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000411,3.5945404993727834
uct-test-a22,1.3312842391040869,0.09661202361609378,0.001434130905212605,0.008305046572609887,588,398.0,,3.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000412,2.5759935868126718
uct-test-a22,1.3341525009145119,0.09661202361609378,0.001434130905212605,0.005932176123292776,589,398.0,,2.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000413,2.5570175413171796
