series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,support_x_min,support_x_max,guide_residual_px,group_assignment_cost,competing_series,line_semantics,evidence_status,segment_break,status,candidate_id
test-0deg,0.014782608695652164,81.74584676331061,8.695652173913021e-05,0.7047899603458916,212,256.5,2.5,6,212,212,4.5228952380199985,12.69789523802,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000046
test-0deg,0.014956521739130424,82.30967873158731,8.695652173913021e-05,0.9867059444842425,213,254.5,3.5,8,213,213,4.5,13.2,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000047
test-0deg,0.015130434782608684,82.87351069986403,8.695652173913021e-05,1.2686219286225935,214,252.5,4.5,10,214,214,4.51775465775188,13.217754657751879,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000048
test-0deg,0.015304347826086945,83.43734266814073,8.695652173913021e-05,1.2686219286225935,215,250.5,4.5,10,215,215,4.580240986250118,13.280240986250117,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000049
test-0deg,0.015478260869565205,84.1421326284866,8.695652173913021e-05,0.8457479524150671,216,248.0,3.0,7,216,216,5.185084616748867,14.060084616748867,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000050
test-0deg,0.015652173913043466,84.42404861262497,8.695652173913021e-05,0.5638319682767161,217,247.0,2.0,5,217,217,4.329911180502023,12.679911180502023,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000051
test-0deg,0.026956521739130414,107.96403328817749,8.695652173913021e-05,0.42287397620754064,282,163.5,1.5,4,282,282,9.882452952987904,17.882452952987904,,solid,visible_pixel_support,True,visible_candidate,line-test-0deg-000052
test-0deg,0.027130434782608674,108.52786525645419,8.695652173913021e-05,0.42287397620754064,283,161.5,1.5,4,283,283,8.697149488426703,17.397149488426702,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000053
test-0deg,0.027304347826086935,108.66882324852337,8.695652173913021e-05,0.28191598413835095,284,161.0,1.0,3,284,284,8.996901396900796,17.171901396900797,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000054
test-0deg,0.027478260869565195,109.79648718507678,8.695652173913021e-05,0.14095799206918969,285,157.0,0.5,1,285,285,5.783227719261589,15.18322771926159,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000055
test-0deg,0.027652173913043462,109.6555291930076,8.695652173913715e-05,0.42287397620754064,286,157.5,1.5,4,286,286,7.057647496360346,15.232647496360347,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000056
test-0deg,0.027826086956521723,109.79648718507678,8.695652173913021e-05,0.28191598413835095,287,157.0,1.0,3,287,287,7.3216797690484725,15.496679769048473,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000057
test-0deg,0.027999999999999983,110.21936116128431,8.695652173913021e-05,0.4228739762075264,288,155.5,1.5,4,288,288,6.576843578177403,15.101843578177403,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000058
