series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,center_localization_half_width_px,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
mfh-45deg,0.019826086956521723,52.285626420852665,8.695652173913021e-05,0.14095799206917548,241,361.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000008,6.238396643657893
mfh-45deg,0.019999999999999983,52.567542404991016,8.695652173913021e-05,0.14095799206917548,242,360.0,,2.5,0.5,6,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000009,6.0
mfh-45deg,0.020173913043478243,52.84945838912937,8.695652173913021e-05,0.14095799206918969,243,359.0,,2.5,0.5,6,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000010,5.79721732475025
mfh-45deg,0.020347826086956504,53.13137437326773,8.695652173913021e-05,0.14095799206917548,244,358.0,,2.5,0.5,6,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000011,5.635368403788561
mfh-45deg,0.020521739130434764,53.41329035740608,8.695652173913021e-05,0.14095799206917548,245,357.0,,2.5,0.5,6,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000012,5.511788101193247
mfh-45deg,0.020695652173913025,53.695206341544434,8.695652173913715e-05,0.14095799206917548,246,356.0,,2.5,0.5,6,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000013,5.423811281042049
mfh-45deg,0.020869565217391292,53.695206341544434,8.695652173913021e-05,0.14095799206917548,247,356.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000014,6.368772807413222
mfh-45deg,0.021043478260869553,53.695206341544434,8.695652173913021e-05,0.14095799206917548,248,356.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000015,7.3440075443847945
mfh-45deg,0.021217391304347813,53.695206341544434,8.695652173913021e-05,0.14095799206917548,249,356.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000016,8.346850356034793
mfh-45deg,0.021391304347826073,54.259038309821136,8.695652173913021e-05,0.14095799206917548,250,354.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000017,7.3746361064414145
mfh-45deg,0.021565217391304334,54.5409542939595,8.695652173913021e-05,0.14095799206918969,251,353.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000018,7.424699659682631
mfh-45deg,0.021739130434782594,54.82287027809785,8.695652173913021e-05,0.14095799206917548,252,352.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000019,7.494375879836582
mfh-45deg,0.021913043478260855,55.1047862622362,8.695652173913021e-05,0.14095799206917548,253,351.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000020,7.580999630981239
mfh-45deg,0.022086956521739115,55.386702246374554,8.695652173913021e-05,0.14095799206917548,254,350.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000021,7.681905777194572
mfh-45deg,0.022260869565217375,55.668618230512905,8.695652173913021e-05,0.14095799206917548,255,349.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000022,7.794429182555007
mfh-45deg,0.022434782608695636,55.950534214651256,8.695652173913021e-05,0.14095799206918969,256,348.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000023,7.915904711140286
mfh-45deg,0.022608695652173896,55.950534214651256,8.695652173913021e-05,0.14095799206918969,257,348.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000024,9.04366722702855
mfh-45deg,0.022782608695652157,56.51436618292797,8.695652173913021e-05,0.14095799206917548,258,346.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000025,8.175051594297997
mfh-45deg,0.022956521739130417,57.078198151204674,8.695652173913021e-05,0.14095799206917548,259,344.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000026,7.307392677026542
mfh-45deg,0.023130434782608678,57.360114135343025,8.695652173913021e-05,0.14095799206917548,260,343.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000027,7.438025339292324
mfh-45deg,0.023304347826086938,57.64203011948139,8.695652173913021e-05,0.14095799206918969,261,342.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000028,7.564284445173371
mfh-45deg,0.0234782608695652,57.92394610361974,8.695652173913021e-05,0.14095799206917548,262,341.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000029,7.683504858747767
mfh-45deg,0.02365217391304346,58.769694056034794,8.695652173913021e-05,0.14095799206917548,263,338.0,,2.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000030,5.793021444093654
mfh-45deg,0.02382608695652172,59.051610040173145,8.695652173913021e-05,0.14095799206918969,264,337.0,,2.0,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000031,5.890169065289001
mfh-45deg,0.02399999999999998,59.051610040173145,8.695652173913021e-05,0.14095799206918969,265,337.0,,1.5,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000032,6.972282586411893
mfh-45deg,0.024173913043478247,58.769694056034794,8.695652173913715e-05,0.14095799206917548,266,338.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000033,9.036696871540471
mfh-45deg,0.026956521739130414,62.9984338181101,8.695652173913021e-05,0.14095799206917548,282,323.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-45deg-000034,8.987730912738073
mfh-45deg,0.027130434782608674,63.5622657863868,8.695652173913021e-05,0.14095799206917548,283,321.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000035,7.866134480550784
mfh-45deg,0.027304347826086935,63.5622657863868,8.695652173913021e-05,0.14095799206917548,284,321.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000036,8.736547897276125
mfh-45deg,0.027478260869565195,63.5622657863868,8.695652173913021e-05,0.14095799206917548,285,321.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-45deg-000037,9.598264665344061
