series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,guide_residual_px,evidence_status,segment_break,status,candidate_id,support_x_min,support_x_max,group_assignment_cost,competing_series,line_semantics
test-0deg,0.022260869565217375,96.82835191471253,8.695652173913021e-05,0.14095799206918969,255,203.0,0.5,2,8.512376754232235,visible_pixel_support,False,visible_candidate,line-test-0deg-000043,,,,,
test-0deg,0.022608695652173896,97.95601585126593,8.695652173913021e-05,0.14095799206918969,257,199.0,0.5,1,6.851277568993282,visible_pixel_support,True,visible_candidate,line-test-0deg-000044,,,,,
test-0deg,0.022956521739130417,99.08367978781935,8.695652173913021e-05,0.14095799206917548,259,195.0,0.5,1,5.163266850170743,visible_pixel_support,True,visible_candidate,line-test-0deg-000045,,,,,
test-0deg,0.023130434782608678,99.3655957719577,8.695652173913021e-05,0.14095799206917548,260,194.0,0.5,2,5.312126918277386,visible_pixel_support,False,visible_candidate,line-test-0deg-000046,,,,,
test-0deg,0.023304347826086938,99.3655957719577,8.695652173913021e-05,0.4228739762075264,261,194.0,1.5,4,6.45780780612219,visible_pixel_support,False,visible_candidate,line-test-0deg-000047,,,,,
test-0deg,0.0234782608695652,99.3655957719577,8.695652173913021e-05,0.14095799206917548,262,194.0,0.5,2,7.601492414749856,visible_pixel_support,False,visible_candidate,line-test-0deg-000048,,,,,
test-0deg,0.02365217391304346,99.3655957719577,8.695652173913021e-05,0.14095799206917548,263,194.0,0.5,1,8.744363645205055,visible_pixel_support,False,visible_candidate,line-test-0deg-000049,,,,,
test-0deg,0.024347826086956507,102.74858758161795,8.695652173913021e-05,0.14095799206918969,267,182.0,0.5,2,1.331372806194878,visible_pixel_support,True,visible_candidate,line-test-0deg-000050,,,,,
test-0deg,0.024521739130434768,102.74858758161795,8.695652173913021e-05,0.5638319682767161,268,182.0,2.0,3,2.4879206614580482,visible_pixel_support,False,visible_candidate,line-test-0deg-000051,,,,,
test-0deg,0.02469565217391303,103.0305035657563,8.695652173913021e-05,0.5638319682767161,269,181.0,2.0,3,2.650752544816811,visible_pixel_support,False,visible_candidate,line-test-0deg-000052,,,,,
test-0deg,0.02486956521739129,102.74858758161795,8.695652173913021e-05,0.14095799206918969,270,182.0,0.5,2,4.821051357315923,visible_pixel_support,False,visible_candidate,line-test-0deg-000053,,,,,
test-0deg,0.02556521739130433,105.56774742300148,8.695652173913021e-05,0.14095799206917548,274,172.0,0.5,1,0.5032510656174338,visible_pixel_support,True,visible_candidate,line-test-0deg-000054,,,,,
test-0deg,0.02573913043478259,105.56774742300148,8.695652173913021e-05,0.5638319682767161,275,172.0,2.0,3,0.6464170100738613,visible_pixel_support,False,visible_candidate,line-test-0deg-000055,,,,,
